DD/MM/YYYY HH:MM:SS, O, H, L, C, V, AdjC
6/01/2009 0:00,0.71565,0.72089,0.7064,0.71396, ,
7/01/2009 0:00,0.71406,0.7271,0.70351,0.71996, ,
8/01/2009 0:00,0.71999,0.72711,0.70951,0.71044, ,
9/01/2009 0:00,0.71064,0.71355,0.69588,0.7119, ,
12/01/2009 0:00,0.71202,0.71208,0.69835,0.69906, ,
13/01/2009 0:00,0.6992,0.69969,0.67816,0.67911, ,
14/01/2009 0:00,0.67938,0.6795,0.6578,0.6674, ,
15/01/2009 0:00,0.66785,0.68132,0.65832,0.66435, ,
16/01/2009 0:00,0.66489,0.6704,0.65388,0.66692, ,
19/01/2009 0:00,0.66782,0.6812,0.66484,0.67954, ,
20/01/2009 0:00,0.67995,0.68443,0.66563,0.66721, ,
21/01/2009 0:00,0.66759,0.66814,0.64579,0.64906, ,
22/01/2009 0:00,0.64933,0.66616,0.64602,0.65799, ,
23/01/2009 0:00,0.65803,0.66216,0.64934,0.65445, ,
26/01/2009 0:00,0.65503,0.65896,0.64187,0.65228, ,
27/01/2009 0:00,0.65238,0.66466,0.64962,0.662, ,
28/01/2009 0:00,0.66205,0.67213,0.65742,0.66453, ,
29/01/2009 0:00,0.66494,0.67345,0.6596,0.66519, ,
30/01/2009 0:00,0.66539,0.66637,0.6489,0.65008, ,
2/02/2009 0:00,0.65017,0.65067,0.63442,0.63533, ,
3/02/2009 0:00,0.63605,0.63663,0.62506,0.63055, ,
4/02/2009 0:00,0.63062,0.65484,0.6304,0.64897, ,
5/02/2009 0:00,0.64928,0.65331,0.63558,0.64268, ,
6/02/2009 0:00,0.64312,0.65828,0.6406,0.6518, ,
9/02/2009 0:00,0.65183,0.68051,0.64769,0.67331, ,
10/02/2009 0:00,0.67363,0.68518,0.663,0.6746, ,
11/02/2009 0:00,0.67495,0.67566,0.64868,0.6572, ,
12/02/2009 0:00,0.65802,0.66061,0.64834,0.65272, ,
13/02/2009 0:00,0.65357,0.6618,0.6433,0.65682, ,
16/02/2009 0:00,0.65682,0.6644,0.65046,0.65254, ,
17/02/2009 0:00,0.65294,0.65415,0.64764,0.65293, ,
18/02/2009 0:00,0.6531,0.6531,0.63354,0.63692, ,
19/02/2009 0:00,0.63791,0.64352,0.63405,0.6393, ,
20/02/2009 0:00,0.6395,0.65242,0.63865,0.64472, ,
23/02/2009 0:00,0.64554,0.65006,0.63558,0.64364, ,
24/02/2009 0:00,0.64497,0.65501,0.64045,0.64065, ,
25/02/2009 0:00,0.64098,0.65398,0.63918,0.65176, ,
26/02/2009 0:00,0.65179,0.65566,0.64563,0.64657, ,
27/02/2009 0:00,0.64669,0.65548,0.64627,0.64683, ,
2/03/2009 0:00,0.64766,0.64798,0.6334,0.6345, ,
3/03/2009 0:00,0.63477,0.63864,0.62883,0.6295, ,
4/03/2009 0:00,0.6299,0.64653,0.62957,0.63766, ,
5/03/2009 0:00,0.63812,0.65287,0.62872,0.64683, ,
6/03/2009 0:00,0.64703,0.64877,0.63585,0.63898, ,
9/03/2009 0:00,0.63898,0.64741,0.6371,0.64302, ,
10/03/2009 0:00,0.64327,0.64517,0.63092,0.63442, ,
11/03/2009 0:00,0.63477,0.64904,0.6344,0.648, ,
12/03/2009 0:00,0.64811,0.65273,0.64018,0.64763, ,
13/03/2009 0:00,0.64835,0.65794,0.64148,0.65407, ,
16/03/2009 0:00,0.65432,0.6606,0.65205,0.65654, ,
17/03/2009 0:00,0.65677,0.66393,0.65479,0.65953, ,
18/03/2009 0:00,0.6596,0.66307,0.65686,0.66294, ,
19/03/2009 0:00,0.66307,0.68194,0.65674,0.67846, ,
20/03/2009 0:00,0.67856,0.69453,0.67254,0.68807, ,
23/03/2009 0:00,0.68822,0.69369,0.68522,0.69109, ,
24/03/2009 0:00,0.69123,0.70623,0.69074,0.70387, ,
25/03/2009 0:00,0.70387,0.70963,0.69359,0.69901, ,
26/03/2009 0:00,0.69936,0.7054,0.69062,0.69901, ,
27/03/2009 0:00,0.69944,0.70424,0.6981,0.70206, ,
30/03/2009 0:00,0.70211,0.70334,0.68682,0.69024, ,
31/03/2009 0:00,0.69081,0.69249,0.67716,0.68037, ,
1/04/2009 0:00,0.68061,0.69719,0.67947,0.69154, ,
2/04/2009 0:00,0.69156,0.70034,0.68585,0.69844, ,
3/04/2009 0:00,0.69894,0.72079,0.69774,0.71988, ,
6/04/2009 0:00,0.72159,0.72312,0.70598,0.71756, ,
7/04/2009 0:00,0.71791,0.72115,0.70678,0.7069, ,
8/04/2009 0:00,0.70727,0.71712,0.70531,0.71223, ,
9/04/2009 0:00,0.71226,0.71302,0.70355,0.70824, ,
10/04/2009 0:00,0.70866,0.72082,0.70579,0.71885, ,
13/04/2009 0:00,0.71904,0.72899,0.71759,0.72177, ,
14/04/2009 0:00,0.72216,0.73303,0.71886,0.73156, ,
15/04/2009 0:00,0.73244,0.73244,0.72023,0.72311, ,
16/04/2009 0:00,0.72326,0.72979,0.71489,0.72756, ,
17/04/2009 0:00,0.72817,0.73184,0.71398,0.71934, ,
20/04/2009 0:00,0.72129,0.72546,0.71696,0.71954, ,
21/04/2009 0:00,0.72033,0.72123,0.69558,0.69752, ,
22/04/2009 0:00,0.69799,0.71321,0.69753,0.7066, ,
23/04/2009 0:00,0.70711,0.71191,0.70046,0.70647, ,
24/04/2009 0:00,0.70759,0.71584,0.7032,0.71198, ,
27/04/2009 0:00,0.71218,0.72415,0.71096,0.71674, ,
28/04/2009 0:00,0.71724,0.71838,0.70599,0.70664, ,
29/04/2009 0:00,0.70685,0.71035,0.69919,0.70714, ,
30/04/2009 0:00,0.70734,0.73021,0.70704,0.72526, ,
1/05/2009 0:00,0.72584,0.73861,0.72388,0.72909, ,
4/05/2009 0:00,0.72909,0.73527,0.72511,0.73383, ,
5/05/2009 0:00,0.73385,0.74196,0.73166,0.74174, ,
6/05/2009 0:00,0.74196,0.74809,0.73748,0.73898, ,
7/05/2009 0:00,0.73922,0.75052,0.73386,0.74836, ,
8/05/2009 0:00,0.74859,0.76179,0.74604,0.75495, ,
11/05/2009 0:00,0.75539,0.77171,0.75098,0.76883, ,
12/05/2009 0:00,0.76936,0.77021,0.75703,0.759, ,
13/05/2009 0:00,0.75911,0.76996,0.75636,0.76788, ,
14/05/2009 0:00,0.76869,0.77059,0.75101,0.7527, ,
15/05/2009 0:00,0.75333,0.76199,0.74681,0.75894, ,
18/05/2009 0:00,0.75906,0.76094,0.74693,0.74693, ,
