DD/MM/YYYY HH:MM:SS, O, H, L, C, V, AdjC
6/01/2009 0:00,0.59082,0.59204,0.58085,0.58879, , 
7/01/2009 0:00,0.58879,0.59959,0.58159,0.5966, , 
8/01/2009 0:00,0.5966,0.60378,0.58854,0.589, , 
9/01/2009 0:00,0.589,0.59727,0.58149,0.59458, , 
12/01/2009 0:00,0.59458,0.59582,0.58812,0.58838, , 
13/01/2009 0:00,0.58838,0.58923,0.57193,0.57199, , 
14/01/2009 0:00,0.57199,0.5726,0.54634,0.55318, , 
15/01/2009 0:00,0.55318,0.56,0.53911,0.54346, , 
16/01/2009 0:00,0.54346,0.5459,0.52797,0.54202, , 
19/01/2009 0:00,0.54202,0.55347,0.53911,0.55209, , 
20/01/2009 0:00,0.55209,0.55502,0.5351,0.53764, , 
21/01/2009 0:00,0.53764,0.53794,0.51698,0.51958, , 
22/01/2009 0:00,0.51958,0.53684,0.51745,0.52928, , 
23/01/2009 0:00,0.52928,0.5345,0.52267,0.52748, , 
26/01/2009 0:00,0.52748,0.53252,0.51749,0.52745, , 
27/01/2009 0:00,0.52745,0.53444,0.52186,0.52962, , 
28/01/2009 0:00,0.52962,0.53445,0.52537,0.52853, , 
29/01/2009 0:00,0.52853,0.53763,0.5191,0.5226, , 
30/01/2009 0:00,0.5226,0.52319,0.51189,0.51335, , 
2/02/2009 0:00,0.51335,0.51403,0.50504,0.50858, , 
3/02/2009 0:00,0.50858,0.50948,0.49629,0.50319, , 
4/02/2009 0:00,0.50319,0.51577,0.50169,0.51064, , 
5/02/2009 0:00,0.51064,0.51552,0.50248,0.50961, , 
6/02/2009 0:00,0.50961,0.52142,0.50517,0.51655, , 
9/02/2009 0:00,0.51655,0.53679,0.51127,0.53103, , 
10/02/2009 0:00,0.53103,0.54491,0.52454,0.53551, , 
11/02/2009 0:00,0.53551,0.53942,0.51832,0.52569, , 
12/02/2009 0:00,0.52569,0.5292,0.52132,0.5248, , 
13/02/2009 0:00,0.5248,0.53205,0.51401,0.52295, , 
16/02/2009 0:00,0.52295,0.52996,0.51897,0.5209, , 
17/02/2009 0:00,0.5209,0.52253,0.51645,0.5209, , 
18/02/2009 0:00,0.5209,0.5209,0.50634,0.50795, , 
19/02/2009 0:00,0.50795,0.51385,0.50761,0.51143, , 
20/02/2009 0:00,0.51143,0.5192,0.50867,0.5091, , 
23/02/2009 0:00,0.5091,0.51615,0.50105,0.50928, , 
24/02/2009 0:00,0.50928,0.51853,0.50645,0.50685, , 
25/02/2009 0:00,0.50685,0.51686,0.50508,0.51386, , 
26/02/2009 0:00,0.51386,0.51966,0.5084,0.5088, , 
27/02/2009 0:00,0.5088,0.5132,0.507,0.50765, , 
2/03/2009 0:00,0.50765,0.50831,0.4953,0.49584, , 
3/03/2009 0:00,0.49584,0.498,0.49144,0.4929, , 
4/03/2009 0:00,0.4929,0.50194,0.4924,0.49427, , 
5/03/2009 0:00,0.49427,0.50808,0.48963,0.504, , 
6/03/2009 0:00,0.504,0.50544,0.49685,0.49901, , 
9/03/2009 0:00,0.49901,0.50949,0.49827,0.50535, , 
10/03/2009 0:00,0.50535,0.50644,0.49162,0.49489, , 
11/03/2009 0:00,0.49489,0.50615,0.49478,0.50567, , 
12/03/2009 0:00,0.50567,0.51456,0.49795,0.51111, , 
13/03/2009 0:00,0.51111,0.52383,0.50736,0.52038, , 
16/03/2009 0:00,0.52038,0.52718,0.51879,0.52326, , 
17/03/2009 0:00,0.52326,0.53466,0.52211,0.52962, , 
18/03/2009 0:00,0.52962,0.53299,0.52784,0.53032, , 
19/03/2009 0:00,0.53032,0.54751,0.52625,0.54476, , 
20/03/2009 0:00,0.54476,0.56144,0.54014,0.55719, , 
23/03/2009 0:00,0.55719,0.56282,0.55514,0.56086, , 
24/03/2009 0:00,0.56086,0.57295,0.56062,0.57086, , 
25/03/2009 0:00,0.57086,0.57492,0.56061,0.56366, , 
26/03/2009 0:00,0.56366,0.57261,0.55528,0.56881, , 
27/03/2009 0:00,0.56881,0.58044,0.56816,0.57776, , 
30/03/2009 0:00,0.57776,0.5794,0.56594,0.56734, , 
31/03/2009 0:00,0.56734,0.56898,0.55852,0.56199, , 
1/04/2009 0:00,0.56199,0.57353,0.55864,0.55967, , 
2/04/2009 0:00,0.55967,0.56994,0.55319,0.56629, , 
3/04/2009 0:00,0.56629,0.58921,0.56389,0.5888, , 
6/04/2009 0:00,0.5888,0.59365,0.57756,0.59287, , 
7/04/2009 0:00,0.59287,0.59833,0.57973,0.58008, , 
