DD/MM/YYYY HH:MM:SS, O, H, L, C, V, AdjC
6/01/2009,1.20955,1.2229,1.1869,1.188, , 
7/01/2009,1.18812,1.20045,1.17652,1.18457, , 
8/01/2009,1.185,1.20035,1.17768,1.1966, , 
9/01/2009,1.1972,1.2076,1.17748,1.18145, , 
12/01/2009,1.18145,1.19728,1.18145,1.19086, , 
13/01/2009,1.19101,1.22055,1.1887,1.21664, , 
14/01/2009,1.21709,1.23483,1.21669,1.2239, , 
15/01/2009,1.2247,1.25016,1.21089,1.24619, , 
16/01/2009,1.24675,1.26783,1.24176,1.2522, , 
19/01/2009,1.25223,1.25808,1.23192,1.2392, , 
20/01/2009,1.23975,1.25754,1.23826,1.25435, , 
21/01/2009,1.2544,1.27007,1.25368,1.26598, , 
22/01/2009,1.26598,1.27688,1.25478,1.26063, , 
23/01/2009,1.26165,1.27431,1.2519,1.25317, , 
26/01/2009,1.25319,1.26535,1.227,1.23818, , 
27/01/2009,1.23824,1.23917,1.21441,1.22313, , 
28/01/2009,1.22354,1.23353,1.21553,1.22545, , 
29/01/2009,1.22584,1.2306,1.2026,1.2139, , 
30/01/2009,1.21413,1.22727,1.21367,1.22496, , 
2/02/2009,1.22497,1.2427,1.22185,1.22816, , 
3/02/2009,1.22845,1.24696,1.22823,1.24592, , 
4/02/2009,1.246,1.25254,1.22966,1.23331, , 
5/02/2009,1.23385,1.24392,1.2227,1.23137, , 
6/02/2009,1.23253,1.23844,1.22296,1.23086, , 
9/02/2009,1.23169,1.25435,1.21824,1.22021, , 
10/02/2009,1.22162,1.23016,1.21342,1.21995, , 
11/02/2009,1.22015,1.24962,1.21836,1.24167, , 
12/02/2009,1.24193,1.25347,1.23898,1.24117, , 
13/02/2009,1.24242,1.25508,1.23938,1.24317, , 
16/02/2009,1.24317,1.24673,1.22829,1.24255, , 
17/02/2009,1.245,1.24902,1.23995,1.24232, , 
18/02/2009,1.24238,1.26751,1.24222,1.26452, , 
19/02/2009,1.26457,1.2655,1.25324,1.25983, , 
20/02/2009,1.26035,1.261,1.24686,1.25667, , 
23/02/2009,1.25714,1.2653,1.2422,1.25272, , 
24/02/2009,1.25427,1.25593,1.23543,1.25142, , 
25/02/2009,1.25189,1.25427,1.2397,1.24078, , 
26/02/2009,1.24132,1.26144,1.24029,1.2554, , 
27/02/2009,1.25597,1.25815,1.23977,1.25357, , 
2/03/2009,1.2544,1.27982,1.2521,1.27942, , 
3/03/2009,1.27947,1.29413,1.27271,1.29092, , 
4/03/2009,1.29097,1.29772,1.28085,1.29413, , 
5/03/2009,1.29413,1.2971,1.27157,1.27665, , 
6/03/2009,1.27688,1.29175,1.27548,1.28809, , 
9/03/2009,1.28809,1.29001,1.27674,1.28235, , 
10/03/2009,1.28235,1.30663,1.28209,1.29869, , 
11/03/2009,1.2993,1.2993,1.27266,1.2813, , 
12/03/2009,1.28158,1.29058,1.27543,1.2897, , 
13/03/2009,1.29039,1.29607,1.27703,1.27986, , 
16/03/2009,1.27986,1.28454,1.26282,1.277, , 
17/03/2009,1.27726,1.27726,1.26379,1.2717, , 
18/03/2009,1.27189,1.27686,1.26744,1.2695, , 
19/03/2009,1.26959,1.27554,1.24345,1.24701, , 
20/03/2009,1.24763,1.25071,1.21935,1.24106, , 
23/03/2009,1.24111,1.24503,1.22944,1.23849, , 
24/03/2009,1.23868,1.23994,1.22058,1.22406, , 
25/03/2009,1.22411,1.23281,1.22044,1.22851, , 
26/03/2009,1.22851,1.23586,1.2221,1.23026, , 
27/03/2009,1.23026,1.23383,1.22419,1.23021, , 
30/03/2009,1.23051,1.24484,1.22681,1.24082, , 
31/03/2009,1.24106,1.26503,1.23894,1.262, , 
1/04/2009,1.26274,1.26559,1.25046,1.26106, , 
2/04/2009,1.26126,1.27184,1.25786,1.25963, , 
3/04/2009,1.25967,1.26099,1.23391,1.2356, , 
6/04/2009,1.23647,1.24581,1.22671,1.22709, , 
7/04/2009,1.22709,1.24628,1.22274,1.24475, , 
8/04/2009,1.24754,1.24869,1.23329,1.23704, , 
9/04/2009,1.23822,1.2469,1.23105,1.23853, , 
10/04/2009,1.23882,1.24058,1.22137,1.22587, , 
13/04/2009,1.22631,1.23011,1.22482,1.22741, , 
14/04/2009,1.22761,1.2302,1.21681,1.21941, , 
15/04/2009,1.21982,1.22452,1.20652,1.21468, , 
16/04/2009,1.2151,1.21891,1.20161,1.20438, , 
17/04/2009,1.2046,1.21498,1.19854,1.20873, , 
