DD/MM/YYYY HH:MM:SS, O, H, L, C
4/01/2008 0:00,0.8786,0.8786,0.8682,0.8717
7/01/2008 0:00,0.8718,0.8774,0.8679,0.8752
8/01/2008 0:00,0.875,0.8814,0.8713,0.8803
9/01/2008 0:00,0.8802,0.8887,0.8781,0.8867
10/01/2008 0:00,0.8866,0.8947,0.8842,0.8929
11/01/2008 0:00,0.8928,0.9071,0.8881,0.9047
14/01/2008 0:00,0.9048,0.9141,0.9011,0.9132
15/01/2008 0:00,0.9133,0.9175,0.9102,0.9157
16/01/2008 0:00,0.9158,0.9186,0.895,0.9013
17/01/2008 0:00,0.9012,0.9037,0.8964,0.9014
18/01/2008 0:00,0.9013,0.9106,0.8962,0.9022
21/01/2008 0:00,0.9024,0.9073,0.8987,0.9015
22/01/2008 0:00,0.9014,0.9015,0.8851,0.887
23/01/2008 0:00,0.8872,0.8981,0.8812,0.8894
24/01/2008 0:00,0.8896,0.8967,0.8846,0.8959
25/01/2008 0:00,0.8958,0.8959,0.8824,0.8897
28/01/2008 0:00,0.8896,0.8928,0.8836,0.8874
29/01/2008 0:00,0.8875,0.8936,0.8853,0.8919
30/01/2008 0:00,0.8917,0.8933,0.8836,0.8863
31/01/2008 0:00,0.8864,0.8916,0.8789,0.8847
1/02/2008 0:00,0.8848,0.9013,0.884,0.8968
4/02/2008 0:00,0.8967,0.904,0.8956,0.8995
5/02/2008 0:00,0.8996,0.9085,0.8987,0.9024
6/02/2008 0:00,0.9025,0.9088,0.8995,0.9022
7/02/2008 0:00,0.9023,0.9037,0.8961,0.8986
8/02/2008 0:00,0.8985,0.9067,0.8961,0.9037
11/02/2008 0:00,0.9036,0.9042,0.8894,0.9014
12/02/2008 0:00,0.9015,0.9083,0.8996,0.9081
13/02/2008 0:00,0.9082,0.9082,0.9019,0.9044
14/02/2008 0:00,0.9043,0.9048,0.8922,0.8999
15/02/2008 0:00,0.9,0.9053,0.898,0.9037
18/02/2008 0:00,0.9036,0.9208,0.9009,0.9202
19/02/2008 0:00,0.9201,0.9273,0.9171,0.9263
20/02/2008 0:00,0.9264,0.9376,0.9236,0.9294
21/02/2008 0:00,0.9291,0.9336,0.9255,0.93
22/02/2008 0:00,0.9299,0.9325,0.9261,0.931
25/02/2008 0:00,0.9311,0.9375,0.9304,0.9346
26/02/2008 0:00,0.9347,0.9374,0.9201,0.9265
27/02/2008 0:00,0.9264,0.9267,0.9131,0.9166
28/02/2008 0:00,0.9167,0.9281,0.916,0.9248
29/02/2008 0:00,0.9246,0.9277,0.9178,0.9259
3/03/2008 0:00,0.9258,0.9278,0.9133,0.9207
4/03/2008 0:00,0.9206,0.9322,0.9157,0.9195
5/03/2008 0:00,0.9196,0.9273,0.9175,0.9204
6/03/2008 0:00,0.9205,0.9244,0.916,0.9226
7/03/2008 0:00,0.9227,0.9255,0.9117,0.9148
10/03/2008 0:00,0.9147,0.9237,0.911,0.92
11/03/2008 0:00,0.9199,0.92,0.9109,0.9128
12/03/2008 0:00,0.9129,0.9248,0.9103,0.9232
13/03/2008 0:00,0.9231,0.9318,0.9166,0.9291
14/03/2008 0:00,0.929,0.9327,0.9208,0.9279
