DD/MM/YYYY HH:MM:SS, O, H, L, C
4/01/2008 0:00,1.14,1.1445,1.1337,1.143
7/01/2008 0:00,1.1432,1.144,1.1355,1.1436
8/01/2008 0:00,1.1437,1.1443,1.1335,1.1387
9/01/2008 0:00,1.1388,1.1505,1.1377,1.1485
10/01/2008 0:00,1.1484,1.1489,1.1399,1.1417
11/01/2008 0:00,1.1418,1.1437,1.1366,1.1428
14/01/2008 0:00,1.1426,1.1439,1.1355,1.1414
15/01/2008 0:00,1.1404,1.1412,1.1365,1.1375
16/01/2008 0:00,1.1373,1.1407,1.1333,1.1354
17/01/2008 0:00,1.1355,1.1479,1.1339,1.1438
18/01/2008 0:00,1.1437,1.1518,1.1411,1.148
21/01/2008 0:00,1.1481,1.1607,1.1451,1.1545
22/01/2008 0:00,1.1544,1.1596,1.1513,1.1531
23/01/2008 0:00,1.1533,1.1564,1.1346,1.1373
24/01/2008 0:00,1.1374,1.1452,1.1346,1.1417
25/01/2008 0:00,1.1418,1.1491,1.1351,1.1476
28/01/2008 0:00,1.1475,1.1477,1.1412,1.1434
29/01/2008 0:00,1.1433,1.1452,1.138,1.1441
30/01/2008 0:00,1.1442,1.1449,1.139,1.1434
31/01/2008 0:00,1.1433,1.1441,1.1367,1.1378
1/02/2008 0:00,1.1377,1.1404,1.1346,1.1382
4/02/2008 0:00,1.1383,1.1444,1.1354,1.144
5/02/2008 0:00,1.1441,1.1481,1.1405,1.1445
6/02/2008 0:00,1.1442,1.1507,1.1425,1.1466
7/02/2008 0:00,1.1465,1.1481,1.1338,1.1352
8/02/2008 0:00,1.1351,1.1382,1.1281,1.1351
11/02/2008 0:00,1.135,1.1456,1.1338,1.1445
12/02/2008 0:00,1.1446,1.1492,1.1425,1.144
13/02/2008 0:00,1.1442,1.1472,1.1396,1.1455
14/02/2008 0:00,1.1454,1.15,1.14,1.1471
15/02/2008 0:00,1.1476,1.1533,1.1417,1.1528
18/02/2008 0:00,1.1527,1.1533,1.1477,1.1511
19/02/2008 0:00,1.151,1.155,1.1467,1.1528
20/02/2008 0:00,1.1526,1.1546,1.1505,1.1525
21/02/2008 0:00,1.1522,1.1543,1.1483,1.1513
22/02/2008 0:00,1.1512,1.1516,1.1459,1.1476
25/02/2008 0:00,1.1478,1.1486,1.1407,1.1438
26/02/2008 0:00,1.1439,1.1471,1.1386,1.1457
27/02/2008 0:00,1.1456,1.1487,1.1422,1.1468
28/02/2008 0:00,1.1469,1.1574,1.1441,1.1559
29/02/2008 0:00,1.1561,1.1659,1.1536,1.1616
3/03/2008 0:00,1.1615,1.1738,1.1592,1.1718
4/03/2008 0:00,1.1717,1.1742,1.157,1.1576
5/03/2008 0:00,1.1577,1.1638,1.1561,1.1625
6/03/2008 0:00,1.1626,1.1692,1.1609,1.1658
7/03/2008 0:00,1.1659,1.1695,1.1617,1.1682
10/03/2008 0:00,1.1683,1.1754,1.1663,1.1715
11/03/2008 0:00,1.1714,1.1723,1.159,1.16
12/03/2008 0:00,1.1601,1.1611,1.1532,1.1595
13/03/2008 0:00,1.1596,1.1665,1.1558,1.1653
14/03/2008 0:00,1.1654,1.1671,1.1536,1.1575
17/03/2008 0:00,1.1576,1.1578,1.141,1.1485
18/03/2008 0:00,1.1481,1.1538,1.1425,1.1477
19/03/2008 0:00,1.1478,1.1516,1.1438,1.1451
20/03/2008 0:00,1.145,1.1485,1.1397,1.143
21/03/2008 0:00,1.1431,1.1439,1.1346,1.1394
24/03/2008 0:00,1.1393,1.1408,1.135,1.1392
25/03/2008 0:00,1.1393,1.1444,1.135,1.1376
26/03/2008 0:00,1.1377,1.1413,1.1342,1.1405
27/03/2008 0:00,1.1404,1.146,1.1372,1.1451
28/03/2008 0:00,1.145,1.1481,1.1403,1.1451
31/03/2008 0:00,1.1452,1.1592,1.1441,1.1566
1/04/2008 0:00,1.1567,1.1652,1.1543,1.1594
2/04/2008 0:00,1.1595,1.1656,1.1518,1.1537
3/04/2008 0:00,1.1536,1.1624,1.1512,1.1607
4/04/2008 0:00,1.1606,1.1687,1.1596,1.1659
7/04/2008 0:00,1.1658,1.1735,1.1639,1.1683
8/04/2008 0:00,1.1681,1.1688,1.1607,1.1644
9/04/2008 0:00,1.1645,1.1702,1.1633,1.1691
10/04/2008 0:00,1.1693,1.1701,1.1633,1.1679
11/04/2008 0:00,1.168,1.1706,1.164,1.1681
14/04/2008 0:00,1.1682,1.176,1.1659,1.171
15/04/2008 0:00,1.1711,1.1745,1.1665,1.1734
16/04/2008 0:00,1.1735,1.1818,1.1711,1.1808
17/04/2008 0:00,1.1809,1.1911,1.1803,1.1857
18/04/2008 0:00,1.1856,1.1923,1.182,1.1845
21/04/2008 0:00,1.1846,1.1895,1.1782,1.1869
22/04/2008 0:00,1.1868,1.1905,1.1841,1.1871
23/04/2008 0:00,1.1872,1.1936,1.1843,1.1922
24/04/2008 0:00,1.1921,1.1953,1.1867,1.1936
25/04/2008 0:00,1.1935,1.196,1.1906,1.1952
28/04/2008 0:00,1.1953,1.1988,1.1907,1.1933
29/04/2008 0:00,1.1934,1.1997,1.1924,1.1973
30/04/2008 0:00,1.1974,1.2079,1.1963,1.2042
1/05/2008 0:00,1.2043,1.2082,1.2006,1.2032
2/05/2008 0:00,1.2031,1.2073,1.199,1.2002
5/05/2008 0:00,1.2003,1.2009,1.1916,1.1995
6/05/2008 0:00,1.1996,1.2072,1.1989,1.205
7/05/2008 0:00,1.2049,1.2058,1.1966,1.2014
8/05/2008 0:00,1.2013,1.2193,1.1998,1.2159
9/05/2008 0:00,1.2161,1.2246,1.2154,1.2187
12/05/2008 0:00,1.2186,1.2291,1.2158,1.2263
13/05/2008 0:00,1.2262,1.2319,1.2247,1.2304
14/05/2008 0:00,1.2305,1.2349,1.2253,1.2315
