Date,Position,AUD 1 Day Lag,Australian Dollar Spot,Australia Sell 5Y & Buy 10Y Bo,Australia Sell 2Y & Buy 5Y Bon,AUS/US 10YR,Australia-U.S. 2y Yield Spread,STXE 600 Û Pr,MSCI EM,MARKIT ITRX AUSTRALIA 06/21,S&P 500 INDEX,HANG SENG CHINA ENT INDX,S&P/ASX 200 INDEX,Generic 1st 'HG' Future,Generic 1st 'GC' Future,China Domestic Steel Rebar 25,Iron Ore delivered to Qingdao,Generic 1st 'XW' Future,DOLLAR INDEX SPOT,Citi Terms of Trade Index - Au,Bloomberg JPMorgan Asia Dollar,AUD-USD RR 25D 3M,CBOE SPX VOLATILITY INDX
08/03/09,Long,0.8444,0.842,18,115.5,196.6,3.1,228.5,864.7,144.4,"1,002.60","12,368.20","4,263.40",273.9,956.6,"4,523.00",94.2,70.6,77.6,22.7,108.9,-2,25.6
08/04/09,Short,0.8406,0.8444,12.4,114.886,195.3357,3.1657,227.8,860.62,148.54,"1,006","12,219","4,309",280,968,"4,633",97,74,78,23,109,-1.8775,24.89
08/05/09,Short,0.8395,0.8406,11.5,110.42,187.8647,3.1971,226.9,854.54,152.113,"1,003","11,968","4,265",281,964,"4,637",98,74,78,23,109,-1.8825,24.9
08/06/09,Short,0.8372,0.8395,10.5,108.394,192.7524,3.2885,227.9,855.52,146.293,997,"12,053","4,326",275,961,"4,674",103,74,78,23,109,-1.8925,25.67
08/07/09,Long,0.8374,0.8372,13,105.714,180.4684,3.1701,230.7,852.93,147.341,"1,010",11612.18,4299.4,278.55,957.3,4631,102.94,74.05,78.975,22.82,108.7,-1.9725,24.76
08/10/09,Short,0.8291,0.8374,13.4,98.629,195.1626,3.3748,229.6,854.78,141.56,1007.1,11901.65,4304.1,277.05,945,4498,102.42,73.85,79.256,22.75,108.34,-1.9675,24.99
08/11/09,Long,0.8337,0.8291,15.8,94.533,205.8093,3.453,226.4,844.9,143.473,994.35,11988.79,4332,273.65,945.8,4394,102.54,73.95,79.176,22.4,108.07,-2.1925,25.99
08/12/09,Long,0.8429,0.8337,17,92.051,184.572,3.3196,228.7,840.24,153.589,1005.81,11656.32,4343.1,282.35,950.7,4351,102.93,73.95,78.79,22.77,108.26,-2.605,25.45
8/13/2009,Short,0.8329,0.8429,23.2,94.847,210.9146,3.4344,230.5,855.64,147.85,1012.73,11900.15,4435.9,291.4,954.7,4276,101.94,74.35,78.489,23.38,108.37,-2.4975,24.71
8/14/2009,Short,0.8205,0.8329,16.7,90.103,205.285,3.5046,228.8,852.74,145.17,1004.09,11899.8,4461,283.6,947,4207,101.15,73.65,78.885,22.98,108.21,-2.4175,24.27
